Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,111,12,T:System.Windows.Forms.Padding,,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,111,12,"M:System.Windows.Forms.Padding.#ctor(System.Int32,System.Int32,System.Int32,System.Int32)",,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,111,12,T:System.Windows.Forms.Padding,,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,111,12,P:System.Windows.Forms.Form.Margin,,,,,"this.Margin = new System.Windows.Forms.Padding(4, 4, 4, 4);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,110,12,T:System.Drawing.GraphicsUnit,,,,,"this.Font = new System.Drawing.Font(""Calibri"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,110,12,T:System.Drawing.GraphicsUnit,,,,,"this.Font = new System.Drawing.Font(""Calibri"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,110,12,F:System.Drawing.GraphicsUnit.Point,,,,,"this.Font = new System.Drawing.Font(""Calibri"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,110,12,T:System.Drawing.FontStyle,,,,,"this.Font = new System.Drawing.Font(""Calibri"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,110,12,T:System.Drawing.FontStyle,,,,,"this.Font = new System.Drawing.Font(""Calibri"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,110,12,F:System.Drawing.FontStyle.Regular,,,,,"this.Font = new System.Drawing.Font(""Calibri"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,110,12,T:System.Drawing.Font,,,,,"this.Font = new System.Drawing.Font(""Calibri"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,110,12,"M:System.Drawing.Font.#ctor(System.String,System.Single,System.Drawing.FontStyle,System.Drawing.GraphicsUnit,System.Byte)",,,,,"this.Font = new System.Drawing.Font(""Calibri"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,110,12,T:System.Drawing.Font,,,,,"this.Font = new System.Drawing.Font(""Calibri"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,110,12,P:System.Windows.Forms.Control.Font,,,,,"this.Font = new System.Drawing.Font(""Calibri"", 12F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,109,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,109,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,109,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,109,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,108,12,T:System.Windows.Forms.TextBox,,,,,this.Controls.Add(this.tboxFirstName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,108,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.tboxFirstName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,108,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.tboxFirstName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,108,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.tboxFirstName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,107,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(this.label2);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,107,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.label2);
